summary_data,0.188581744677,1.02223801774e-13,0.16670020153,1526340600,0.165050935185,1533600000,0.212366666667,0.00446262551134,ms,0.00832718131352,0.164969318605,1533598200,0.164940113545,2688.0,1344.0,0.16318002556,0.394406382633,1800,0.165051429785,0.00176008798497
x_data_observed,1526340600000,1800000,area,Observed
Observed,2018-05-25 00:30:00,0.165050935185,0,0
Observed,2018-05-25 01:00:00,0.165050935185,0,0
Observed,2018-05-25 01:30:00,0.165050935185,0,0
Observed,2018-05-25 02:00:00,0.165050935185,0,0
Observed,2018-05-25 02:30:00,0.165050935185,0,0
Observed,2018-05-25 03:00:00,0.165050935185,0,0
Observed,2018-05-25 03:30:00,0.165050935185,0,0
Observed,2018-05-25 04:00:00,0.165050935185,0,0
Observed,2018-05-25 04:30:00,0.165050935185,0,0
Observed,2018-05-25 05:00:00,0.165050935185,0,0
Observed,2018-05-25 05:30:00,0.165050935185,0,0
Observed,2018-05-25 06:00:00,0.165050935185,0,0
Observed,2018-05-25 06:30:00,0.165050935185,0,0
Observed,2018-05-25 07:00:00,0.165050935185,0,0
Observed,2018-05-25 07:30:00,0.165050935185,0,0
Observed,2018-05-25 08:00:00,0.165050935185,0,0
Observed,2018-05-25 08:30:00,0.165050935185,0,0
Observed,2018-05-25 09:00:00,0.165050935185,0,0
Observed,2018-05-25 09:30:00,0.165050935185,0,0
Observed,2018-05-25 10:00:00,0.165050935185,0,0
Observed,2018-05-25 10:30:00,0.165050935185,0,0
Observed,2018-05-25 11:00:00,0.165050935185,0,0
Observed,2018-05-25 11:30:00,0.165050935185,0,0
Observed,2018-05-25 12:00:00,0.165050935185,0,0
Observed,2018-05-25 12:30:00,0.165050935185,0,0
Observed,2018-05-25 13:00:00,0.165050935185,0,0
Observed,2018-05-25 13:30:00,0.165050935185,0,0
Observed,2018-05-25 14:00:00,0.165050935185,0,0
Observed,2018-05-25 14:30:00,0.165050935185,0,0
Observed,2018-05-25 15:00:00,0.165050935185,0,0
Observed,2018-05-25 15:30:00,0.165050935185,0,0
Observed,2018-05-25 16:00:00,0.165050935185,0,0
Observed,2018-05-25 16:30:00,0.165050935185,0,0
Observed,2018-05-25 17:00:00,0.165050935185,0,0
Observed,2018-05-25 17:30:00,0.165050935185,0,0
Observed,2018-05-25 18:00:00,0.165050935185,0,0
Observed,2018-05-25 18:30:00,0.165050935185,0,0
Observed,2018-05-25 19:00:00,0.165050935185,0,0
Observed,2018-05-25 19:30:00,0.165050935185,0,0
Observed,2018-05-25 20:00:00,0.165050935185,0,0
Observed,2018-05-25 20:30:00,0.165050935185,0,0
Observed,2018-05-25 21:00:00,0.165050935185,0,0
Observed,2018-05-25 21:30:00,0.165050935185,0,0
Observed,2018-05-25 22:00:00,0.165050935185,0,0
Observed,2018-05-25 22:30:00,0.165050935185,0,0
Observed,2018-05-25 23:00:00,0.165050935185,0,0
Observed,2018-05-25 23:30:00,0.165050935185,0,0
Observed,2018-05-26 00:00:00,0.165050935185,0,0
Observed,2018-05-26 00:30:00,0.165050935185,0,0
Observed,2018-05-26 01:00:00,0.165050935185,0,0
Observed,2018-05-26 01:30:00,0.165050935185,0,0
Observed,2018-05-26 02:00:00,0.165050935185,0,0
Observed,2018-05-26 02:30:00,0.165050935185,0,0
Observed,2018-05-26 03:00:00,0.165050935185,0,0
Observed,2018-05-26 03:30:00,0.165050935185,0,0
Observed,2018-05-26 04:00:00,0.165050935185,0,0
Observed,2018-05-26 04:30:00,0.165050935185,0,0
Observed,2018-05-26 05:00:00,0.165050935185,0,0
Observed,2018-05-26 05:30:00,0.165050935185,0,0
Observed,2018-05-26 06:00:00,0.165050935185,0,0
Observed,2018-05-26 06:30:00,0.165050935185,0,0
Observed,2018-05-26 07:00:00,0.165050935185,0,0
Observed,2018-05-26 07:30:00,0.165050935185,0,0
Observed,2018-05-26 08:00:00,0.165050935185,0,0
Observed,2018-05-26 08:30:00,0.165050935185,0,0
Observed,2018-05-26 09:00:00,0.165050935185,0,0
Observed,2018-05-26 09:30:00,0.165050935185,0,0
Observed,2018-05-26 10:00:00,0.165050935185,0,0
Observed,2018-05-26 10:30:00,0.165050935185,0,0
Observed,2018-05-26 11:00:00,0.165050935185,0,0
Observed,2018-05-26 11:30:00,0.165050935185,0,0
Observed,2018-05-26 12:00:00,0.165050935185,0,0
Observed,2018-05-26 12:30:00,0.165050935185,0,0
Observed,2018-05-26 13:00:00,0.165050935185,0,0
Observed,2018-05-26 13:30:00,0.165050935185,0,0
Observed,2018-05-26 14:00:00,0.165050935185,0,0
Observed,2018-05-26 14:30:00,0.165050935185,0,0
Observed,2018-05-26 15:00:00,0.165050935185,0,0
Observed,2018-05-26 15:30:00,0.165050935185,0,0
Observed,2018-05-26 16:00:00,0.165050935185,0,0
Observed,2018-05-26 16:30:00,0.165050935185,0,0
Observed,2018-05-26 17:00:00,0.165050935185,0,0
Observed,2018-05-26 17:30:00,0.165050935185,0,0
Observed,2018-05-26 18:00:00,0.165050935185,0,0
Observed,2018-05-26 18:30:00,0.165050935185,0,0
Observed,2018-05-26 19:00:00,0.165050935185,0,0
Observed,2018-05-26 19:30:00,0.165050935185,0,0
Observed,2018-05-26 20:00:00,0.165050935185,0,0
Observed,2018-05-26 20:30:00,0.165050935185,0,0
Observed,2018-05-26 21:00:00,0.165050935185,0,0
Observed,2018-05-26 21:30:00,0.165050935185,0,0
Observed,2018-05-26 22:00:00,0.165050935185,0,0
Observed,2018-05-26 22:30:00,0.165050935185,0,0
Observed,2018-05-26 23:00:00,0.165050935185,0,0
Observed,2018-05-26 23:30:00,0.165050935185,0,0
Observed,2018-05-27 00:00:00,0.165050935185,0,0
Observed,2018-05-27 00:30:00,0.165050935185,0,0
Observed,2018-05-27 01:00:00,0.165050935185,0,0
Observed,2018-05-27 01:30:00,0.165050935185,0,0
Observed,2018-05-27 02:00:00,0.165050935185,0,0
Observed,2018-05-27 02:30:00,0.165050935185,0,0
Observed,2018-05-27 03:00:00,0.165050935185,0,0
Observed,2018-05-27 03:30:00,0.165050935185,0,0
Observed,2018-05-27 04:00:00,0.165050935185,0,0
Observed,2018-05-27 04:30:00,0.165050935185,0,0
Observed,2018-05-27 05:00:00,0.165050935185,0,0
Observed,2018-05-27 05:30:00,0.165050935185,0,0
Observed,2018-05-27 06:00:00,0.165050935185,0,0
Observed,2018-05-27 06:30:00,0.165050935185,0,0
Observed,2018-05-27 07:00:00,0.165050935185,0,0
Observed,2018-05-27 07:30:00,0.165050935185,0,0
Observed,2018-05-27 08:00:00,0.165050935185,0,0
Observed,2018-05-27 08:30:00,0.165050935185,0,0
Observed,2018-05-27 09:00:00,0.165050935185,0,0
Observed,2018-05-27 09:30:00,0.165050935185,0,0
Observed,2018-05-27 10:00:00,0.165050935185,0,0
Observed,2018-05-27 10:30:00,0.165050935185,0,0
Observed,2018-05-27 11:00:00,0.165050935185,0,0
Observed,2018-05-27 11:30:00,0.165050935185,0,0
Observed,2018-05-27 12:00:00,0.165050935185,0,0
Observed,2018-05-27 12:30:00,0.165050935185,0,0
Observed,2018-05-27 13:00:00,0.165050935185,0,0
Observed,2018-05-27 13:30:00,0.165050935185,0,0
Observed,2018-05-27 14:00:00,0.165050935185,0,0
Observed,2018-05-27 14:30:00,0.165050935185,0,0
Observed,2018-05-27 15:00:00,0.165050935185,0,0
Observed,2018-05-27 15:30:00,0.165050935185,0,0
Observed,2018-05-27 16:00:00,0.165050935185,0,0
Observed,2018-05-27 16:30:00,0.165050935185,0,0
Observed,2018-05-27 17:00:00,0.165050935185,0,0
Observed,2018-05-27 17:30:00,0.165050935185,0,0
Observed,2018-05-27 18:00:00,0.165050935185,0,0
Observed,2018-05-27 18:30:00,0.165050935185,0,0
Observed,2018-05-27 19:00:00,0.165050935185,0,0
Observed,2018-05-27 19:30:00,0.165050935185,0,0
Observed,2018-05-27 20:00:00,0.165050935185,0,0
Observed,2018-05-27 20:30:00,0.165050935185,0,0
Observed,2018-05-27 21:00:00,0.165050935185,0,0
Observed,2018-05-27 21:30:00,0.165050935185,0,0
Observed,2018-05-27 22:00:00,0.165050935185,0,0
Observed,2018-05-27 22:30:00,0.165050935185,0,0
Observed,2018-05-27 23:00:00,0.165050935185,0,0
Observed,2018-05-27 23:30:00,0.165050935185,0,0
Observed,2018-05-28 00:00:00,0.165050935185,0,0
Observed,2018-05-28 00:30:00,0.165050935185,0,0
Observed,2018-05-28 01:00:00,0.165050935185,0,0
Observed,2018-05-28 01:30:00,0.165050935185,0,0
Observed,2018-05-28 02:00:00,0.165050935185,0,0
Observed,2018-05-28 02:30:00,0.165050935185,0,0
Observed,2018-05-28 03:00:00,0.165050935185,0,0
Observed,2018-05-28 03:30:00,0.165050935185,0,0
Observed,2018-05-28 04:00:00,0.165050935185,0,0
Observed,2018-05-28 04:30:00,0.165050935185,0,0
Observed,2018-05-28 05:00:00,0.165050935185,0,0
Observed,2018-05-28 05:30:00,0.165050935185,0,0
Observed,2018-05-28 06:00:00,0.165050935185,0,0
Observed,2018-05-28 06:30:00,0.165050935185,0,0
Observed,2018-05-28 07:00:00,0.165050935185,0,0
Observed,2018-05-28 07:30:00,0.165050935185,0,0
Observed,2018-05-28 08:00:00,0.165050935185,0,0
Observed,2018-05-28 08:30:00,0.165050935185,0,0
Observed,2018-05-28 09:00:00,0.165050935185,0,0
Observed,2018-05-28 09:30:00,0.165050935185,0,0
Observed,2018-05-28 10:00:00,0.165050935185,0,0
Observed,2018-05-28 10:30:00,0.165050935185,0,0
Observed,2018-05-28 11:00:00,0.165050935185,0,0
Observed,2018-05-28 11:30:00,0.165050935185,0,0
Observed,2018-05-28 12:00:00,0.165050935185,0,0
Observed,2018-05-28 12:30:00,0.165050935185,0,0
Observed,2018-05-28 13:00:00,0.165050935185,0,0
Observed,2018-05-28 13:30:00,0.165050935185,0,0
Observed,2018-05-28 14:00:00,0.165050935185,0,0
Observed,2018-05-28 14:30:00,0.165050935185,0,0
Observed,2018-05-28 15:00:00,0.165050935185,0,0
Observed,2018-05-28 15:30:00,0.165050935185,0,0
Observed,2018-05-28 16:00:00,0.165050935185,0,0
Observed,2018-05-28 16:30:00,0.165050935185,0,0
Observed,2018-05-28 17:00:00,0.165050935185,0,0
Observed,2018-05-28 17:30:00,0.165050935185,0,0
Observed,2018-05-28 18:00:00,0.165050935185,0,0
Observed,2018-05-28 18:30:00,0.165050935185,0,0
Observed,2018-05-28 19:00:00,0.165050935185,0,0
Observed,2018-05-28 19:30:00,0.165050935185,0,0
Observed,2018-05-28 20:00:00,0.165050935185,0,0
Observed,2018-05-28 20:30:00,0.165050935185,0,0
Observed,2018-05-28 21:00:00,0.165050935185,0,0
Observed,2018-05-28 21:30:00,0.165050935185,0,0
Observed,2018-05-28 22:00:00,0.165050935185,0,0
Observed,2018-05-28 22:30:00,0.165050935185,0,0
Observed,2018-05-28 23:00:00,0.165050935185,0,0
Observed,2018-05-28 23:30:00,0.165050935185,0,0
Observed,2018-05-29 00:00:00,0.165050935185,0,0
Observed,2018-05-29 00:30:00,0.165050935185,0,0
Observed,2018-05-29 01:00:00,0.165050935185,0,0
Observed,2018-05-29 01:30:00,0.165050935185,0,0
Observed,2018-05-29 02:00:00,0.165050935185,0,0
Observed,2018-05-29 02:30:00,0.165050935185,0,0
Observed,2018-05-29 03:00:00,0.165050935185,0,0
Observed,2018-05-29 03:30:00,0.165050935185,0,0
Observed,2018-05-29 04:00:00,0.165050935185,0,0
Observed,2018-05-29 04:30:00,0.165050935185,0,0
Observed,2018-05-29 05:00:00,0.165050935185,0,0
Observed,2018-05-29 05:30:00,0.165050935185,0,0
Observed,2018-05-29 06:00:00,0.165050935185,0,0
Observed,2018-05-29 06:30:00,0.165050935185,0,0
Observed,2018-05-29 07:00:00,0.165050935185,0,0
Observed,2018-05-29 07:30:00,0.165050935185,0,0
Observed,2018-05-29 08:00:00,0.165050935185,0,0
Observed,2018-05-29 08:30:00,0.165050935185,0,0
Observed,2018-05-29 09:00:00,0.165050935185,0,0
Observed,2018-05-29 09:30:00,0.165050935185,0,0
Observed,2018-05-29 10:00:00,0.165050935185,0,0
Observed,2018-05-29 10:30:00,0.165050935185,0,0
Observed,2018-05-29 11:00:00,0.165050935185,0,0
Observed,2018-05-29 11:30:00,0.165050935185,0,0
Observed,2018-05-29 12:00:00,0.165050935185,0,0
Observed,2018-05-29 12:30:00,0.165050935185,0,0
Observed,2018-05-29 13:00:00,0.165050935185,0,0
Observed,2018-05-29 13:30:00,0.165050935185,0,0
Observed,2018-05-29 14:00:00,0.165050935185,0,0
Observed,2018-05-29 14:30:00,0.165050935185,0,0
Observed,2018-05-29 15:00:00,0.165050935185,0,0
Observed,2018-05-29 15:30:00,0.165050935185,0,0
Observed,2018-05-29 16:00:00,0.165050935185,0,0
Observed,2018-05-29 16:30:00,0.165050935185,0,0
Observed,2018-05-29 17:00:00,0.165050935185,0,0
Observed,2018-05-29 17:30:00,0.165050935185,0,0
Observed,2018-05-29 18:00:00,0.165050935185,0,0
Observed,2018-05-29 18:30:00,0.165050935185,0,0
Observed,2018-05-29 19:00:00,0.165050935185,0,0
Observed,2018-05-29 19:30:00,0.165050935185,0,0
Observed,2018-05-29 20:00:00,0.165050935185,0,0
Observed,2018-05-29 20:30:00,0.165050935185,0,0
Observed,2018-05-29 21:00:00,0.165050935185,0,0
Observed,2018-05-29 21:30:00,0.165050935185,0,0
Observed,2018-05-29 22:00:00,0.165050935185,0,0
Observed,2018-05-29 22:30:00,0.165050935185,0,0
Observed,2018-05-29 23:00:00,0.165050935185,0,0
Observed,2018-05-29 23:30:00,0.165050935185,0,0
Observed,2018-05-30 00:00:00,0.165050935185,0,0
Observed,2018-05-30 00:30:00,0.165050935185,0,0
Observed,2018-05-30 01:00:00,0.165050935185,0,0
Observed,2018-05-30 01:30:00,0.165050935185,0,0
Observed,2018-05-30 02:00:00,0.165050935185,0,0
Observed,2018-05-30 02:30:00,0.165050935185,0,0
Observed,2018-05-30 03:00:00,0.165050935185,0,0
Observed,2018-05-30 03:30:00,0.165050935185,0,0
Observed,2018-05-30 04:00:00,0.165050935185,0,0
Observed,2018-05-30 04:30:00,0.165050935185,0,0
Observed,2018-05-30 05:00:00,0.165050935185,0,0
Observed,2018-05-30 05:30:00,0.165050935185,0,0
Observed,2018-05-30 06:00:00,0.165050935185,0,0
Observed,2018-05-30 06:30:00,0.165050935185,0,0
Observed,2018-05-30 07:00:00,0.165050935185,0,0
Observed,2018-05-30 07:30:00,0.165050935185,0,0
Observed,2018-05-30 08:00:00,0.165050935185,0,0
Observed,2018-05-30 08:30:00,0.165050935185,0,0
Observed,2018-05-30 09:00:00,0.165050935185,0,0
Observed,2018-05-30 09:30:00,0.165050935185,0,0
Observed,2018-05-30 10:00:00,0.165050935185,0,0
Observed,2018-05-30 10:30:00,0.165050935185,0,0
Observed,2018-05-30 11:00:00,0.165050935185,0,0
Observed,2018-05-30 11:30:00,0.165050935185,0,0
Observed,2018-05-30 12:00:00,0.165050935185,0,0
Observed,2018-05-30 12:30:00,0.165050935185,0,0
Observed,2018-05-30 13:00:00,0.165050935185,0,0
Observed,2018-05-30 13:30:00,0.165050935185,0,0
Observed,2018-05-30 14:00:00,0.165050935185,0,0
Observed,2018-05-30 14:30:00,0.165050935185,0,0
Observed,2018-05-30 15:00:00,0.165050935185,0,0
Observed,2018-05-30 15:30:00,0.165050935185,0,0
Observed,2018-05-30 16:00:00,0.165050935185,0,0
Observed,2018-05-30 16:30:00,0.165050935185,0,0
Observed,2018-05-30 17:00:00,0.165050935185,0,0
Observed,2018-05-30 17:30:00,0.165050935185,0,0
Observed,2018-05-30 18:00:00,0.165050935185,0,0
Observed,2018-05-30 18:30:00,0.165050935185,0,0
Observed,2018-05-30 19:00:00,0.165050935185,0,0
Observed,2018-05-30 19:30:00,0.165050935185,0,0
Observed,2018-05-30 20:00:00,0.165050935185,0,0
Observed,2018-05-30 20:30:00,0.165050935185,0,0
Observed,2018-05-30 21:00:00,0.165050935185,0,0
Observed,2018-05-30 21:30:00,0.165050935185,0,0
Observed,2018-05-30 22:00:00,0.165050935185,0,0
Observed,2018-05-30 22:30:00,0.165050935185,0,0
Observed,2018-05-30 23:00:00,0.165050935185,0,0
Observed,2018-05-30 23:30:00,0.165050935185,0,0
Observed,2018-05-31 00:00:00,0.165050935185,0,0
Observed,2018-05-31 00:30:00,0.165050935185,0,0
Observed,2018-05-31 01:00:00,0.165050935185,0,0
Observed,2018-05-31 01:30:00,0.165050935185,0,0
Observed,2018-05-31 02:00:00,0.165050935185,0,0
Observed,2018-05-31 02:30:00,0.165050935185,0,0
Observed,2018-05-31 03:00:00,0.165050935185,0,0
Observed,2018-05-31 03:30:00,0.165050935185,0,0
Observed,2018-05-31 04:00:00,0.165050935185,0,0
Observed,2018-05-31 04:30:00,0.165050935185,0,0
Observed,2018-05-31 05:00:00,0.165050935185,0,0
Observed,2018-05-31 05:30:00,0.165050935185,0,0
Observed,2018-05-31 06:00:00,0.165050935185,0,0
Observed,2018-05-31 06:30:00,0.165050935185,0,0
Observed,2018-05-31 07:00:00,0.165050935185,0,0
Observed,2018-05-31 07:30:00,0.165050935185,0,0
Observed,2018-05-31 08:00:00,0.165050935185,0,0
Observed,2018-05-31 08:30:00,0.165050935185,0,0
Observed,2018-05-31 09:00:00,0.165050935185,0,0
Observed,2018-05-31 09:30:00,0.165050935185,0,0
Observed,2018-05-31 10:00:00,0.165050935185,0,0
Observed,2018-05-31 10:30:00,0.165050935185,0,0
Observed,2018-05-31 11:00:00,0.165050935185,0,0
Observed,2018-05-31 11:30:00,0.165050935185,0,0
Observed,2018-05-31 12:00:00,0.165050935185,0,0
Observed,2018-05-31 12:30:00,0.165050935185,0,0
Observed,2018-05-31 13:00:00,0.165050935185,0,0
Observed,2018-05-31 13:30:00,0.165050935185,0,0
Observed,2018-05-31 14:00:00,0.165050935185,0,0
Observed,2018-05-31 14:30:00,0.165050935185,0,0
Observed,2018-05-31 15:00:00,0.165050935185,0,0
Observed,2018-05-31 15:30:00,0.165050935185,0,0
Observed,2018-05-31 16:00:00,0.165050935185,0,0
Observed,2018-05-31 16:30:00,0.165050935185,0,0
Observed,2018-05-31 17:00:00,0.165050935185,0,0
Observed,2018-05-31 17:30:00,0.165050935185,0,0
Observed,2018-05-31 18:00:00,0.165050935185,0,0
Observed,2018-05-31 18:30:00,0.165050935185,0,0
Observed,2018-05-31 19:00:00,0.165050935185,0,0
Observed,2018-05-31 19:30:00,0.165050935185,0,0
Observed,2018-05-31 20:00:00,0.165050935185,0,0
Observed,2018-05-31 20:30:00,0.165050935185,0,0
Observed,2018-05-31 21:00:00,0.165050935185,0,0
Observed,2018-05-31 21:30:00,0.165050935185,0,0
Observed,2018-05-31 22:00:00,0.165050935185,0,0
Observed,2018-05-31 22:30:00,0.165050935185,0,0
Observed,2018-05-31 23:00:00,0.165050935185,0,0
Observed,2018-05-31 23:30:00,0.165050935185,0,0
Observed,2018-06-01 00:00:00,0.165050935185,0,0
Observed,2018-06-01 00:30:00,0.165050935185,0,0
Observed,2018-06-01 01:00:00,0.165050935185,0,0
Observed,2018-06-01 01:30:00,0.165050935185,0,0
Observed,2018-06-01 02:00:00,0.165050935185,0,0
Observed,2018-06-01 02:30:00,0.165050935185,0,0
Observed,2018-06-01 03:00:00,0.165050935185,0,0
Observed,2018-06-01 03:30:00,0.165050935185,0,0
Observed,2018-06-01 04:00:00,0.165050935185,0,0
Observed,2018-06-01 04:30:00,0.165050935185,0,0
Observed,2018-06-01 05:00:00,0.165050935185,0,0
Observed,2018-06-01 05:30:00,0.165050935185,0,0
Observed,2018-06-01 06:00:00,0.165050935185,0,0
Observed,2018-06-01 06:30:00,0.165050935185,0,0
Observed,2018-06-01 07:00:00,0.165050935185,0,0
Observed,2018-06-01 07:30:00,0.165050935185,0,0
Observed,2018-06-01 08:00:00,0.165050935185,0,0
Observed,2018-06-01 08:30:00,0.165050935185,0,0
Observed,2018-06-01 09:00:00,0.165050935185,0,0
Observed,2018-06-01 09:30:00,0.165050935185,0,0
Observed,2018-06-01 10:00:00,0.165050935185,0,0
Observed,2018-06-01 10:30:00,0.165050935185,0,0
Observed,2018-06-01 11:00:00,0.165050935185,0,0
Observed,2018-06-01 11:30:00,0.165050935185,0,0
Observed,2018-06-01 12:00:00,0.165050935185,0,0
Observed,2018-06-01 12:30:00,0.165050935185,0,0
Observed,2018-06-01 13:00:00,0.165050935185,0,0
Observed,2018-06-01 13:30:00,0.165050935185,0,0
Observed,2018-06-01 14:00:00,0.165050935185,0,0
Observed,2018-06-01 14:30:00,0.165050935185,0,0
Observed,2018-06-01 15:00:00,0.165050935185,0,0
Observed,2018-06-01 15:30:00,0.165050935185,0,0
Observed,2018-06-01 16:00:00,0.165050935185,0,0
Observed,2018-06-01 16:30:00,0.165050935185,0,0
Observed,2018-06-01 17:00:00,0.165050935185,0,0
Observed,2018-06-01 17:30:00,0.165050935185,0,0
Observed,2018-06-01 18:00:00,0.165050935185,0,0
Observed,2018-06-01 18:30:00,0.165050935185,0,0
Observed,2018-06-01 19:00:00,0.165050935185,0,0
Observed,2018-06-01 19:30:00,0.165050935185,0,0
Observed,2018-06-01 20:00:00,0.165050935185,0,0
Observed,2018-06-01 20:30:00,0.165050935185,0,0
Observed,2018-06-01 21:00:00,0.165050935185,0,0
Observed,2018-06-01 21:30:00,0.165050935185,0,0
Observed,2018-06-01 22:00:00,0.165050935185,0,0
Observed,2018-06-01 22:30:00,0.165050935185,0,0
Observed,2018-06-01 23:00:00,0.165050935185,0,0
Observed,2018-06-01 23:30:00,0.165050935185,0,0
Observed,2018-06-02 00:00:00,0.165050935185,0,0
Observed,2018-06-02 00:30:00,0.165050935185,0,0
Observed,2018-06-02 01:00:00,0.165050935185,0,0
Observed,2018-06-02 01:30:00,0.165050935185,0,0
Observed,2018-06-02 02:00:00,0.165050935185,0,0
Observed,2018-06-02 02:30:00,0.165050935185,0,0
Observed,2018-06-02 03:00:00,0.165050935185,0,0
Observed,2018-06-02 03:30:00,0.165050935185,0,0
Observed,2018-06-02 04:00:00,0.165050935185,0,0
Observed,2018-06-02 04:30:00,0.165050935185,0,0
Observed,2018-06-02 05:00:00,0.165050935185,0,0
Observed,2018-06-02 05:30:00,0.165050935185,0,0
Observed,2018-06-02 06:00:00,0.165050935185,0,0
Observed,2018-06-02 06:30:00,0.165050935185,0,0
Observed,2018-06-02 07:00:00,0.165050935185,0,0
Observed,2018-06-02 07:30:00,0.165050935185,0,0
Observed,2018-06-02 08:00:00,0.165050935185,0,0
Observed,2018-06-02 08:30:00,0.165050935185,0,0
Observed,2018-06-02 09:00:00,0.165050935185,0,0
Observed,2018-06-02 09:30:00,0.165050935185,0,0
Observed,2018-06-02 10:00:00,0.165050935185,0,0
Observed,2018-06-02 10:30:00,0.165050935185,0,0
Observed,2018-06-02 11:00:00,0.165050935185,0,0
Observed,2018-06-02 11:30:00,0.165050935185,0,0
Observed,2018-06-02 12:00:00,0.165050935185,0,0
Observed,2018-06-02 12:30:00,0.165050935185,0,0
Observed,2018-06-02 13:00:00,0.165050935185,0,0
Observed,2018-06-02 13:30:00,0.165050935185,0,0
Observed,2018-06-02 14:00:00,0.165050935185,0,0
Observed,2018-06-02 14:30:00,0.165050935185,0,0
Observed,2018-06-02 15:00:00,0.165050935185,0,0
Observed,2018-06-02 15:30:00,0.165050935185,0,0
Observed,2018-06-02 16:00:00,0.165050935185,0,0
Observed,2018-06-02 16:30:00,0.165050935185,0,0
Observed,2018-06-02 17:00:00,0.165050935185,0,0
Observed,2018-06-02 17:30:00,0.165050935185,0,0
Observed,2018-06-02 18:00:00,0.165050935185,0,0
Observed,2018-06-02 18:30:00,0.165050935185,0,0
Observed,2018-06-02 19:00:00,0.165050935185,0,0
Observed,2018-06-02 19:30:00,0.165050935185,0,0
Observed,2018-06-02 20:00:00,0.165050935185,0,0
Observed,2018-06-02 20:30:00,0.165050935185,0,0
Observed,2018-06-02 21:00:00,0.165050935185,0,0
Observed,2018-06-02 21:30:00,0.165050935185,0,0
Observed,2018-06-02 22:00:00,0.165050935185,0,0
Observed,2018-06-02 22:30:00,0.165050935185,0,0
Observed,2018-06-02 23:00:00,0.165050935185,0,0
Observed,2018-06-02 23:30:00,0.165050935185,0,0
Observed,2018-06-03 00:00:00,0.165050935185,0,0
Observed,2018-06-03 00:30:00,0.165050935185,0,0
Observed,2018-06-03 01:00:00,0.165050935185,0,0
Observed,2018-06-03 01:30:00,0.165050935185,0,0
Observed,2018-06-03 02:00:00,0.165050935185,0,0
Observed,2018-06-03 02:30:00,0.165050935185,0,0
Observed,2018-06-03 03:00:00,0.165050935185,0,0
Observed,2018-06-03 03:30:00,0.165050935185,0,0
Observed,2018-06-03 04:00:00,0.165050935185,0,0
Observed,2018-06-03 04:30:00,0.165050935185,0,0
Observed,2018-06-03 05:00:00,0.165050935185,0,0
Observed,2018-06-03 05:30:00,0.165050935185,0,0
Observed,2018-06-03 06:00:00,0.165050935185,0,0
Observed,2018-06-03 06:30:00,0.165050935185,0,0
Observed,2018-06-03 07:00:00,0.165050935185,0,0
Observed,2018-06-03 07:30:00,0.165050935185,0,0
Observed,2018-06-03 08:00:00,0.165050935185,0,0
Observed,2018-06-03 08:30:00,0.165050935185,0,0
